4800	110	336.8
9600	253	1164.3
14400	449	2219.0
19200	902	2615.8
24000	1698	2714.0
28800	2811	2832.5
33600	4294	2944.6
38400	6165	3061.7
43200	8634	3112.6
48000	11576	3184.6
4800	102	360.1
9600	243	1215.3
14400	426	2334.4
19200	670	3520.1
24000	1025	4493.7
28800	2079	3829.6
33600	4086	3094.7
38400	7692	2453.8
43200	14314	1877.6
48000	24625	1497.1
4800	107	344.3
9600	245	1205.7
14400	423	2353.1
19200	691	3414.5
24000	1154	3991.7
28800	1963	4057.2
33600	2942	4297.4
38400	4139	4560.0
43200	5737	4684.3
