9600	9600	3840	52	13526.3	417.931286
19200	19200	3840	258	10957.7	522.971961
28800	28800	3840	906	7032.3	192.797414
38400	38400	3840	2161	5240.6	104.877584
48000	48000	3840	4220	4192.7	72.365041
57600	57600	3840	6957	3662.7	45.045777
67200	67200	3840	10540	3290.4	33.763629
76800	76800	3840	15058	3008.3	21.362780
86400	86400	3840	20018	2863.9	14.348825
96000	96000	3840	25864	2736.5	19.580664
9600	9600	3840	49	14329.1	487.405255
19200	19200	3840	265	10690.0	1544.459737
28800	28800	3840	1066	5974.9	180.521543
38400	38400	3840	1994	5680.5	238.340222
48000	48000	3840	3370	5250.2	101.682946
57600	57600	3840	5025	5071.2	112.980968
# x	y	z	ms	GFlops	Deviance
# x	y	z	ms	GFlops	Deviance
# x	y	z	ms	GFlops	Deviance
# x	y	z	ms	GFlops	Deviance
9600	9600	3840	51	13992.0	675.346584
19200	19200	3840	269	10534.5	588.602511
28800	28800	3840	856	7437.6	345.296995
38400	38400	3840	1814	6243.2	119.488616
48000	48000	3840	3314	5338.8	45.495013
57600	57600	3840	5766	4419.0	153.180254
67200	67200	3840	10914	3177.7	560.030115
76800	76800	3840	16385	2764.6	523.327152
86400	86400	3840	22096	2594.6	439.102413
96000	96000	3840	31949	2215.4	316.133627
9600	9600	3840	45	15901.7	222.760056
19200	19200	3840	154	18405.0	1313.458123
28800	28800	3840	351	18132.8	699.261264
38400	38400	3840	661	17141.9	489.418094
48000	48000	3840	1178	15016.4	386.518055
57600	57600	3840	1997	12758.8	231.283850
67200	67200	3840	3343	10374.1	128.042143
76800	76800	3840	5201	8708.8	188.243177
86400	86400	3840	8030	7139.8	127.548556
96000	96000	3840	11608	6097.3	131.410866
9600	9600	3840	44	16054.1	255.717856
19200	19200	3840	150	18828.7	1024.301711
28800	28800	3840	348	18295.2	598.766842
38400	38400	3840	646	17534.9	732.801288
48000	48000	3840	1181	14977.1	148.347415
57600	57600	3840	2109	12079.6	195.078265
67200	67200	3840	3634	9543.0	199.537915
76800	76800	3840	5900	7677.4	194.120948
86400	86400	3840	9194	6235.5	156.190308
96000	96000	3840	14032	5044.1	119.047301
