Duration, M, N, K
0.422000, 6.000000, 5.000000, 4.000000
0.474000, 6.000000, 5.000000, 4.000000
0.673000, 6.000000, 5.000000, 4.000000
0.482000, 6.000000, 5.000000, 4.000000
0.721000, 6.000000, 5.000000, 4.000000
0.441000, 6.000000, 5.000000, 4.000000
0.459000, 6.000000, 5.000000, 4.000000
0.694000, 6.000000, 5.000000, 4.000000
0.458000, 6.000000, 5.000000, 4.000000
0.468000, 6.000000, 5.000000, 4.000000
0.684000, 6.000000, 5.000000, 4.000000
0.470000, 6.000000, 5.000000, 4.000000
0.469000, 6.000000, 5.000000, 4.000000
0.667000, 6.000000, 5.000000, 4.000000
0.422000, 6.000000, 5.000000, 4.000000
0.432000, 6.000000, 5.000000, 4.000000
0.469000, 6.000000, 5.000000, 4.000000
0.691000, 6.000000, 5.000000, 4.000000
0.450000, 6.000000, 5.000000, 4.000000
0.629000, 6.000000, 5.000000, 4.000000
0.451000, 6.000000, 5.000000, 4.000000
0.505000, 6.000000, 5.000000, 4.000000
0.686000, 6.000000, 5.000000, 4.000000
0.435000, 6.000000, 5.000000, 4.000000
0.478000, 6.000000, 5.000000, 4.000000
0.686000, 6.000000, 5.000000, 4.000000
0.418000, 6.000000, 5.000000, 4.000000
0.462000, 6.000000, 5.000000, 4.000000
0.680000, 6.000000, 5.000000, 4.000000
0.523000, 6.000000, 5.000000, 4.000000
0.604000, 6.000000, 5.000000, 4.000000
0.485000, 6.000000, 5.000000, 4.000000
0.692000, 6.000000, 5.000000, 4.000000
0.422000, 6.000000, 5.000000, 4.000000
0.460000, 6.000000, 5.000000, 4.000000
0.685000, 6.000000, 5.000000, 4.000000
0.420000, 6.000000, 5.000000, 4.000000
0.453000, 6.000000, 5.000000, 4.000000
0.661000, 6.000000, 5.000000, 4.000000
0.495000, 6.000000, 5.000000, 4.000000
0.670000, 6.000000, 5.000000, 4.000000
0.427000, 6.000000, 5.000000, 4.000000
1.951000, 4.000000, 8.000000, 10.000000
2.683000, 4.000000, 8.000000, 10.000000
1.936000, 4.000000, 8.000000, 10.000000
1.949000, 4.000000, 8.000000, 10.000000
2.724000, 4.000000, 8.000000, 10.000000
1.906000, 4.000000, 8.000000, 10.000000
1.951000, 4.000000, 8.000000, 10.000000
2.631000, 4.000000, 8.000000, 10.000000
1.989000, 4.000000, 8.000000, 10.000000
2.679000, 4.000000, 8.000000, 10.000000
1.897000, 4.000000, 8.000000, 10.000000
1.951000, 4.000000, 8.000000, 10.000000
2.894000, 4.000000, 8.000000, 10.000000
1.903000, 4.000000, 8.000000, 10.000000
1.948000, 4.000000, 8.000000, 10.000000
2.666000, 4.000000, 8.000000, 10.000000
1.922000, 4.000000, 8.000000, 10.000000
1.951000, 4.000000, 8.000000, 10.000000
2.769000, 4.000000, 8.000000, 10.000000
1.937000, 4.000000, 8.000000, 10.000000
2.739000, 4.000000, 8.000000, 10.000000
1.912000, 4.000000, 8.000000, 10.000000
1.942000, 4.000000, 8.000000, 10.000000
